index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
111,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.954954955,0.375,-60.73113208
112,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.945945946,0.875,-7.5
113,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.900900901,0.5,-44.5
114,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.927927928,0.375,-59.58737864
115,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.90990991,0.625,-31.31188119
116,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.936936937,0.625,-33.29326923
117,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.972972973,0.5,-48.61111111
118,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.900900901,0.5,-44.5
119,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.982142857,0.714285714,-27.27272727
120,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.90990991,0.375,-58.78712871
121,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.972972973,0.625,-35.76388889
122,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.972972973,0.625,-35.76388889
123,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.990990991,0.375,-62.15909091
124,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.981981982,0.5,-49.08256881
125,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.927927928,0.375,-59.58737864
126,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.954954955,0.5,-47.64150943
127,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.927927928,0.625,-32.64563107
128,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.963963964,0.375,-61.09813084
129,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.963963964,0.5,-48.13084112
130,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.918918919,0.75,-18.38235294
131,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.981981982,0.625,-36.35321101
132,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.864864865,0.625,-27.734375
133,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.936936937,0.625,-33.29326923
134,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0,5,4,0.0001,0.973214286,0.714285714,-26.60550459
