index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
539,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.8125,1,23.07692308
540,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.828828829,0.375,-54.75543478
541,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.810810811,0.875,7.916666667
542,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.828828829,0.75,-9.510869565
543,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.81981982,0.375,-54.25824176
544,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.837837838,0.5,-40.32258065
545,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.774774775,0.5,-35.46511628
546,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.855855856,0.5,-41.57894737
547,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.855855856,0.75,-12.36842105
548,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.801801802,0.5,-37.64044944
549,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.873873874,0.75,-14.17525773
550,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.783783784,0.75,-4.310344828
551,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.846846847,0.625,-26.19680851
552,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.765765766,0.5,-34.70588235
553,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.828828829,0.5,-39.67391304
554,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.2,6,4,0.01,0.785714286,0.714285714,-9.090909091
555,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.846846847,0.375,-55.71808511
556,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.855855856,0.875,2.236842105
557,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.891891892,1,12.12121212
558,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.855855856,0.375,-56.18421053
559,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.873873874,0.5,-42.78350515
560,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.891891892,0.5,-43.93939394
561,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.855855856,0.5,-41.57894737
562,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.864864865,0.875,1.171875
563,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.846846847,0.375,-55.71808511
564,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.891891892,0.75,-15.90909091
565,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.756756757,0.875,15.625
566,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.846846847,0.875,3.324468085
567,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.783783784,0.875,11.63793103
568,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.774774775,0.625,-19.33139535
569,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,6,4,0.001,0.857142857,0.857142857,0
570,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.765765766,0.5,-34.70588235
571,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.855855856,0.75,-12.36842105
572,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.81981982,0.625,-23.76373626
573,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.855855856,0.5,-41.57894737
574,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.81981982,0.625,-23.76373626
575,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.765765766,0.5,-34.70588235
576,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.828828829,0.5,-39.67391304
577,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.783783784,0.875,11.63793103
578,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.801801802,0.375,-53.23033708
579,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.828828829,0.5,-39.67391304
580,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.927927928,0.875,-5.703883495
581,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.765765766,0.75,-2.058823529
582,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.738738739,0.75,1.524390244
583,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.837837838,0.5,-40.32258065
584,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,4,0.0001,0.8125,0.857142857,5.494505495
585,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.756756757,0.5,-33.92857143
586,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.774774775,0.875,12.93604651
587,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.864864865,0.75,-13.28125
588,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.801801802,0.25,-68.82022472
589,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.855855856,0.625,-26.97368421
590,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.882882883,0.5,-43.36734694
591,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.855855856,0.75,-12.36842105
592,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.882882883,0.875,-0.892857143
593,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.81981982,0.375,-54.25824176
594,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.837837838,1,19.35483871
595,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.864864865,0.75,-13.28125
596,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.810810811,0.75,-7.5
597,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.792792793,0.625,-21.16477273
598,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.855855856,0.625,-26.97368421
599,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,4,1.00E-05,0.866071429,0.714285714,-17.5257732
600,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.810810811,0.75,-7.5
601,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.81981982,0.875,6.730769231
602,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.693693694,0.75,8.116883117
603,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.774774775,0.375,-51.59883721
604,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.828828829,0.625,-24.5923913
605,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.801801802,0.75,-6.460674157
606,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.792792793,0.75,-5.397727273
607,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.801801802,0.875,9.129213483
608,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.828828829,0.625,-24.5923913
609,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.684684685,0.75,9.539473684
610,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.765765766,0.875,14.26470588
611,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.801801802,0.875,9.129213483
612,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.612612613,0.625,2.022058824
613,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.72972973,0.625,-14.35185185
614,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,5,3,0.1,0.785714286,1,27.27272727
615,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.810810811,0.5,-38.33333333
616,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.774774775,0.875,12.93604651
617,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.864864865,1,15.625
618,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.81981982,0.625,-23.76373626
619,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.855855856,0.375,-56.18421053
620,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.765765766,0.5,-34.70588235
621,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.756756757,0.5,-33.92857143
622,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.747747748,0.875,17.01807229
623,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.837837838,0.625,-25.40322581
624,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.846846847,0.875,3.324468085
625,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.810810811,0.875,7.916666667
626,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.783783784,0.5,-36.20689655
627,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.81981982,0.75,-8.516483516
628,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.756756757,0.5,-33.92857143
629,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,5,3,0.01,0.857142857,0.857142857,0
630,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.864864865,0.5,-42.1875
631,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.801801802,0.625,-22.0505618
632,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.747747748,0.75,0.301204819
633,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.828828829,0.375,-54.75543478
634,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.711711712,0.5,-29.74683544
635,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.864864865,0.5,-42.1875
636,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.702702703,0.25,-64.42307692
637,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.81981982,0.875,6.730769231
638,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.702702703,0.5,-28.84615385
639,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.756756757,0.75,-0.892857143
640,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.504504505,0.625,23.88392857
641,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.684684685,0.75,9.539473684
642,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.765765766,0.875,14.26470588
643,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.783783784,0.625,-20.25862069
644,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,5,3,0.001,0.901785714,0.857142857,-4.95049505
645,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.810810811,0.5,-38.33333333
646,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.855855856,0.875,2.236842105
647,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.783783784,0.625,-20.25862069
648,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.711711712,0.375,-47.31012658
649,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.684684685,0.375,-45.23026316
650,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.837837838,0.625,-25.40322581
651,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.855855856,0.5,-41.57894737
652,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.486486486,0.5,2.777777778
653,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.837837838,0.5,-40.32258065
654,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.657657658,0.75,14.04109589
655,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.747747748,0.875,17.01807229
656,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.873873874,0.875,0.128865979
657,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.846846847,0.625,-26.19680851
658,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.846846847,0.625,-26.19680851
659,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,3,0.0001,0.6875,0.714285714,3.896103896
660,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.81981982,0.5,-39.01098901
661,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.648648649,0.5,-22.91666667
662,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.828828829,1,20.65217391
663,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.81981982,0.5,-39.01098901
664,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.864864865,0.625,-27.734375
665,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.882882883,0.375,-57.5255102
666,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.702702703,0.25,-64.42307692
667,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.765765766,0.875,14.26470588
668,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.684684685,0.25,-63.48684211
669,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.747747748,0.75,0.301204819
670,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.891891892,0.875,-1.893939394
671,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.828828829,0.875,5.570652174
672,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.837837838,0.75,-10.48387097
