index,parameters,max_depth,n_estimators,training,validation,overfit_%
143,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.702702703,0.5,-28.84615385
144,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.666666667,0.5,-25
145,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.684684685,0.5,-26.97368421
146,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.612612613,0.5,-18.38235294
147,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.657657658,0.875,33.04794521
148,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.594594595,0.625,5.113636364
149,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.705357143,0.714285714,1.265822785
150,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.747747748,0.375,-49.84939759
151,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.675675676,0.5,-26
152,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.693693694,0.75,8.116883117
153,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.774774775,0.375,-51.59883721
154,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.720720721,0.5,-30.625
155,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.675675676,0.5,-26
156,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.693693694,0.5,-27.92207792
157,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.657657658,0.625,-4.965753425
158,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.747747748,0.625,-16.41566265
159,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.675675676,0.375,-44.5
160,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.675675676,0.625,-7.5
161,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.666666667,0.625,-6.25
162,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.63963964,0.75,17.25352113
163,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.567567568,0.5,-11.9047619
164,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 6}",3,6,0.705357143,0.714285714,1.265822785
165,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.765765766,0.375,-51.02941176
166,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.720720721,0.5,-30.625
167,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.702702703,0.75,6.730769231
168,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.72972973,0.25,-65.74074074
169,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.765765766,0.375,-51.02941176
170,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.693693694,0.5,-27.92207792
171,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.684684685,0.5,-26.97368421
172,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.72972973,0.625,-14.35185185
173,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.711711712,0.625,-12.1835443
174,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.756756757,0.5,-33.92857143
175,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.72972973,0.5,-31.48148148
176,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.693693694,0.625,-9.902597403
177,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.666666667,0.625,-6.25
178,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.594594595,0.375,-36.93181818
179,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 7}",3,7,0.723214286,0.714285714,-1.234567901
180,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.648648649,0.375,-42.1875
181,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.684684685,0.875,27.79605263
182,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.612612613,0.75,22.42647059
183,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.441441441,0.125,-71.68367347
184,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.684684685,0.25,-63.48684211
185,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.63963964,0.375,-41.37323944
186,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.657657658,0.75,14.04109589
187,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.567567568,0.625,10.11904762
188,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.702702703,0.25,-64.42307692
189,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.621621622,0.5,-19.56521739
190,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.621621622,0.375,-39.67391304
191,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.540540541,0.75,38.75
192,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.666666667,0.25,-62.5
193,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.603603604,0.375,-37.87313433
194,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 2}",4,2,0.616071429,0.285714286,-53.62318841
195,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.693693694,0.375,-45.94155844
196,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.738738739,0.75,1.524390244
197,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.702702703,0.875,24.51923077
198,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.603603604,0.125,-79.29104478
199,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.756756757,0.375,-50.44642857
200,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.72972973,0.375,-48.61111111
201,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.603603604,0.625,3.544776119
202,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.72972973,0.875,19.90740741
203,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.675675676,0.375,-44.5
204,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.630630631,0.5,-20.71428571
205,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.720720721,0.625,-13.28125
206,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.621621622,0.5,-19.56521739
207,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.711711712,0.25,-64.87341772
208,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.738738739,0.5,-32.31707317
209,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 3}",4,3,0.75,0.714285714,-4.761904762
210,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.747747748,0.375,-49.84939759
211,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.747747748,0.625,-16.41566265
212,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.666666667,0.75,12.5
213,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.603603604,0,-100
214,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.711711712,0.25,-64.87341772
215,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.720720721,0.375,-47.96875
216,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.612612613,0.5,-18.38235294
217,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.72972973,1,37.03703704
218,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.630630631,0.375,-40.53571429
219,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.63963964,0.5,-21.83098592
220,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.720720721,0.75,4.0625
221,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.666666667,0.75,12.5
222,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.657657658,0.25,-61.98630137
223,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.720720721,0.5,-30.625
224,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 4}",4,4,0.732142857,0.428571429,-41.46341463
225,"{'rf_class__max_depth': 4, 'rf_class__n_estimators': 5}",4,5,0.765765766,0.25,-67.35294118
