index,parameters,oversample_SMOTE__sampling_strategy,kn_class__n_neighbors,kn_class__weights,kn_class__algorithm,kn_class__p,training,validation,overfit_%
89,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.9375,1,6.666666667
90,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.918918919,0.875,-4.779411765
91,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.936936937,1,6.730769231
92,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.945945946,1,5.714285714
93,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.954954955,0.75,-21.46226415
94,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.945945946,0.625,-33.92857143
95,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.927927928,1,7.766990291
96,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.945945946,1,5.714285714
97,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.936936937,1,6.730769231
98,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 800, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,800,uniform,brute,2,0.936936937,0.875,-6.610576923
