index,parameters,max_depth,max_leaf_nodes,training,validation,overfit_%
219,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.531531532,0.25,-52.96610169
220,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.495495495,0.375,-24.31818182
221,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.630630631,0.75,18.92857143
222,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.486486486,0.5,2.777777778
223,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0,0,NaN
224,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 4}",4,4,0.4375,0.571428571,30.6122449
225,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.756756757,0.375,-50.44642857
226,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.387387387,0.5,29.06976744
227,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.477477477,0.5,4.716981132
228,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.594594595,0.125,-78.97727273
229,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.540540541,0.375,-30.625
230,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.603603604,0.5,-17.1641791
231,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.486486486,0.375,-22.91666667
232,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.711711712,0.625,-12.1835443
233,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.279279279,0.5,79.03225806
234,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.459459459,0.125,-72.79411765
235,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.495495495,0.375,-24.31818182
236,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.261261261,0.125,-52.15517241
237,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.72972973,0.625,-14.35185185
238,"{'dt_class__max_depth': 4, 'dt_class__max_leaf_nodes': 5}",4,5,0.315315315,0.25,-20.71428571
